	Accuracy	Precision	Recall	F1 Score	AUC	PR AUC	Train Accuracy	Train F1	Model	Best Params
0	0.857541	0.857077	0.889962	0.870709	0.917406	0.922947	0.876650	0.889236	Logistic Regression	NaN
9	0.857541	0.857077	0.889962	0.870709	0.917406	0.922947	0.876650	0.889236	Logistic Regression	{'model__C': 1, 'model__solver': 'lbfgs'}
15	0.844317	0.841454	0.883523	0.858772	0.895626	0.900414	0.882456	0.894641	AdaBoost	{'model__learning_rate': 0.5, 'model__n_estima...
11	0.837869	0.823778	0.896212	0.857239	0.899574	0.891452	0.855146	0.871467	KNN	{'model__n_neighbors': 11, 'model__weights': '...
13	0.837814	0.844595	0.865909	0.851863	0.914220	0.926696	0.939567	0.945371	Random Forest	{'model__max_depth': None, 'model__min_samples...
10	0.831038	0.828106	0.877652	0.849541	0.915071	0.925464	0.875817	0.888687	SVM (RBF)	{'model__C': 1, 'model__gamma': 'auto'}
1	0.831257	0.828243	0.877652	0.848800	0.908970	0.921266	0.927160	0.934307	SVM (RBF)	NaN
2	0.821475	0.826943	0.853788	0.838489	0.886447	0.862311	0.879150	0.890694	KNN	NaN
5	0.824699	0.838471	0.847727	0.838417	0.906110	0.911587	1.000000	1.000000	Random Forest	NaN
16	0.824699	0.833622	0.847348	0.837789	0.888238	0.898086	1.000000	1.000000	XGBoost	{'model__colsample_bytree': 0.8, 'model__learn...
14	0.817978	0.825821	0.853220	0.834298	0.899324	0.914257	0.916402	0.924859	Gradient Boosting	{'model__learning_rate': 0.05, 'model__max_dep...
7	0.818033	0.815263	0.859280	0.832691	0.886073	0.888571	0.898183	0.906799	AdaBoost	NaN
8	0.808251	0.818764	0.835417	0.823759	0.871667	0.880383	1.000000	1.000000	XGBoost	NaN
12	0.801257	0.814579	0.829167	0.817426	0.850877	0.815566	0.855969	0.869553	Decision Tree	{'model__criterion': 'gini', 'model__max_depth...
6	0.795027	0.796555	0.835417	0.812677	0.881763	0.897038	0.997517	0.997724	Gradient Boosting	NaN
3	0.728525	0.748631	0.756250	0.749617	0.726405	0.698525	1.000000	1.000000	Decision Tree	NaN
4	0.543060	0.543060	1.000000	0.703852	0.500000	0.543060	0.543047	0.703862	Dummy (Most Frequent)	NaN
